Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1739357477503,4056,4056,4056,4056,4056,4056,4056,4056,44.26012420654297,44.53355407714844,44.912498474121094,44.226139068603516,44.716373443603516,43.85020446777344,44.56048583984375,44.565826416015625,44.412132263183594,44.41789245605469,44.639625549316406,44.48169708251953,44.57465744018555,44.94236755371094,NaN,0,0,0,0,0,0,0,9.650965690612793,17179869184,0,9632382976,0
204,1739357477504,4056,4056,4056,4056,4056,4056,4056,4056,44.26012420654297,44.53355407714844,44.912498474121094,44.226139068603516,44.716373443603516,43.85020446777344,44.56048583984375,44.565826416015625,44.412132263183594,44.41789245605469,44.639625549316406,44.48169708251953,44.57465744018555,44.94236755371094,0,100,NaN,NaN,0,NaN,100,NaN,9.650965690612793,17179869184,0,9632382976,0
200,1739357477709,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,35,26.3157901763916,14.285715103149414,14.285715103149414,14.285715103149414,9.523809432983398,5,9.523809432983398,9.650965690612793,17179869184,0,9632382976,0
201,1739357477910,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,35,40,25,15.789472579956055,15.789472579956055,15.000000953674316,23.809524536132813,5.263157844543457,9.650965690612793,17179869184,0,9632382976,0
204,1739357478112,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,20,23.809524536132813,5.263157844543457,13.636363983154297,15.000000953674316,15.000000953674316,5.263157844543457,9.523809432983398,9.620872497558594,17179869184,0,9632382976,0
202,1739357478317,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,10.526315689086914,10.526315689086914,4.761904716491699,0,15.000000953674316,10.526315689086914,14.285715103149414,5,9.620872497558594,17179869184,0,9703145472,0
204,1739357478519,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,15.000000953674316,15.000000953674316,5,0,15.000000953674316,19.047618865966797,10,0,9.620872497558594,17179869184,0,9728770048,0
200,1739357478724,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,14.285715103149414,5,5,20,14.285715103149414,25,9.523809432983398,9.620872497558594,17179869184,0,9716072448,0
203,1739357478925,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,10.526315689086914,9.523809432983398,0,19.047618865966797,10.526315689086914,30.000001907348633,5,9.620872497558594,17179869184,0,9716072448,0
204,1739357479128,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,9.523809432983398,0,5,10.526315689086914,15.000000953674316,5,5,10.177098274230957,17179869184,0,9716072448,0
201,1739357479334,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,15.789472579956055,9.523809432983398,4.761904716491699,19.047618865966797,19.047618865966797,19.047618865966797,10,10.177098274230957,17179869184,0,9652092928,0
199,1739357479536,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,10,5,5,15.000000953674316,19.047618865966797,5.263157844543457,4.761904716491699,10.177098274230957,17179869184,0,9640984576,0
203,1739357479736,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,15.789472579956055,10,5.263157844543457,0,15.000000953674316,5.555555820465088,13.636363983154297,5,10.177098274230957,17179869184,0,9636233216,0
204,1739357479940,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,25,28.571430206298828,15.000000953674316,15.000000953674316,19.047618865966797,19.047618865966797,10,5,10.177098274230957,17179869184,0,9638379520,0
204,1739357480145,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,25,21.052631378173828,14.285715103149414,9.523809432983398,15.789472579956055,10,5.263157844543457,0,10.60251522064209,17179869184,0,9641164800,0
204,1739357480350,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,20,10,5,4.761904716491699,15.000000953674316,19.047618865966797,14.285715103149414,9.523809432983398,10.60251522064209,17179869184,0,9629761536,0
200,1739357480554,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,15.789472579956055,15.000000953674316,10,5,22.72727394104004,20,5.263157844543457,5,10.60251522064209,17179869184,0,9629106176,0
204,1739357480755,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.112945556640625,44.120750427246094,45.030765533447266,45.01826477050781,44.793617248535156,44.869468688964844,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,25,15.789472579956055,14.285715103149414,5,20,15.000000953674316,14.285715103149414,9.523809432983398,10.60251522064209,17179869184,0,9629122560,0
200,1739357480960,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.112945556640625,44.120750427246094,45.030765533447266,45.01826477050781,44.793617248535156,44.869468688964844,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,20,19.047618865966797,0,0,5.263157844543457,9.523809432983398,5,0,10.60251522064209,17179869184,0,9628844032,0
204,1739357481161,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.112945556640625,44.120750427246094,45.030765533447266,45.01826477050781,44.793617248535156,44.869468688964844,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,35,26.3157901763916,20,15.789472579956055,14.285715103149414,10.526315689086914,9.523809432983398,5,9.872262954711914,17179869184,0,9628041216,0
204,1739357481366,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.112945556640625,44.120750427246094,45.030765533447266,45.01826477050781,44.793617248535156,44.869468688964844,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,15.000000953674316,9.523809432983398,9.090909004211426,9.090909004211426,20,18.18181800842285,10,9.523809432983398,9.872262954711914,17179869184,0,9628663808,0
203,1739357481571,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.112945556640625,44.120750427246094,45.030765533447266,45.01826477050781,44.793617248535156,44.869468688964844,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,19.047618865966797,15.000000953674316,5.263157844543457,5,15.000000953674316,10,10,0,9.872262954711914,17179869184,0,9628434432,0
204,1739357481774,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,21.052631378173828,15.000000953674316,4.761904716491699,0,10,10,9.523809432983398,0,9.872262954711914,17179869184,0,9626730496,0
200,1739357481980,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,20,14.285715103149414,5,9.090909004211426,15.000000953674316,20,5,9.523809432983398,9.872262954711914,17179869184,0,9626910720,0
201,1739357482181,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,10,10,0,0,19.047618865966797,10.526315689086914,10,5,9.51267147064209,17179869184,0,9626910720,0
204,1739357482382,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,15.000000953674316,5,9.523809432983398,0,21.052631378173828,14.285715103149414,10,14.285715103149414,9.51267147064209,17179869184,0,9627664384,0
201,1739357482588,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,15.000000953674316,10,4.761904716491699,4.761904716491699,23.809524536132813,15.000000953674316,9.523809432983398,0,9.51267147064209,17179869184,0,9627287552,0
202,1739357482789,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,20,15.000000953674316,0,0,15.000000953674316,15.000000953674316,10.526315689086914,5,9.51267147064209,17179869184,0,9626664960,0
203,1739357482993,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,15.000000953674316,10,9.090909004211426,4.761904716491699,23.809524536132813,15.000000953674316,18.18181800842285,9.523809432983398,9.51267147064209,17179869184,0,9626730496,0
204,1739357483196,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,10.526315689086914,10,0,4.761904716491699,10.526315689086914,10,5.263157844543457,0,9.52213191986084,17179869184,0,9625993216,0
201,1739357483401,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,19.047618865966797,15.000000953674316,9.523809432983398,0,19.047618865966797,19.047618865966797,9.523809432983398,4.761904716491699,9.52213191986084,17179869184,0,9628221440,0
200,1739357483602,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,10.526315689086914,10,0,0,15.000000953674316,15.000000953674316,10,10,9.52213191986084,17179869184,0,9627811840,0
202,1739357483804,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.680240631103516,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,23.809524536132813,14.285715103149414,5,0,15.000000953674316,15.000000953674316,10,4.761904716491699,9.52213191986084,17179869184,0,9625927680,0
199,1739357484006,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.680240631103516,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,15.789472579956055,15.789472579956055,10,4.761904716491699,10,5.263157844543457,9.523809432983398,0,9.52213191986084,17179869184,0,9625255936,0
201,1739357484207,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.680240631103516,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,15.000000953674316,10,0,0,15.000000953674316,19.047618865966797,10,9.523809432983398,9.58738899230957,17179869184,0,9626402816,0
200,1739357484408,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.680240631103516,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,10.526315689086914,14.285715103149414,9.090909004211426,5,20,15.000000953674316,5.555555820465088,0,9.58738899230957,17179869184,0,9627975680,0
200,1739357484609,4056,4056,4056,4056,4056,4056,4056,4056,44.60482406616211,44.755367279052734,45.086944580078125,44.47317123413086,44.90474319458008,44.01142120361328,44.83157730102539,44.83517837524414,44.680240631103516,44.65681457519531,44.86806869506836,44.70826721191406,44.7514533996582,45.13953399658203,20,15.789472579956055,0,0,10.526315689086914,10,13.636363983154297,4.761904716491699,9.58738899230957,17179869184,0,9626157056,0
201,1739357484810,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.949153900146484,44.244873046875,44.720394134521484,43.90579605102539,44.62693786621094,44.630035400390625,44.472537994384766,44.437477111816406,44.67089080810547,44.508941650390625,44.600948333740234,44.95836639404297,25,20,9.523809432983398,5,19.047618865966797,15.000000953674316,10.526315689086914,5,9.58738899230957,17179869184,0,9629073408,0
201,1739357485012,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.949153900146484,44.244873046875,44.720394134521484,43.90579605102539,44.62693786621094,44.630035400390625,44.472537994384766,44.437477111816406,44.67089080810547,44.508941650390625,44.600948333740234,44.95836639404297,15.789472579956055,10.526315689086914,5.263157844543457,4.761904716491699,15.789472579956055,15.000000953674316,15.000000953674316,5,9.58738899230957,17179869184,0,9628483584,0
201,1739357485213,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.949153900146484,44.244873046875,44.720394134521484,43.90579605102539,44.62693786621094,44.630035400390625,44.472537994384766,44.437477111816406,44.67089080810547,44.508941650390625,44.600948333740234,44.95836639404297,15.000000953674316,14.285715103149414,14.285715103149414,5,19.047618865966797,15.000000953674316,14.285715103149414,0,9.403541564941406,17179869184,0,9628483584,0
201,1739357485415,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.949153900146484,44.244873046875,44.720394134521484,43.90579605102539,44.62693786621094,44.630035400390625,44.472537994384766,44.437477111816406,44.67089080810547,44.508941650390625,44.600948333740234,44.95836639404297,45,31.57894515991211,25,20,15.000000953674316,15.000000953674316,5.263157844543457,9.523809432983398,9.403541564941406,17179869184,0,9625944064,0
204,1739357485616,4056,4056,4056,4056,4056,4056,4056,4056,44.35560989379883,44.58201217651367,44.949153900146484,44.244873046875,44.720394134521484,43.90579605102539,44.62693786621094,44.630035400390625,44.472537994384766,44.437477111816406,44.67089080810547,44.508941650390625,44.600948333740234,44.95836639404297,21.052631378173828,15.000000953674316,10.526315689086914,0,15.789472579956055,15.000000953674316,14.285715103149414,5,9.403541564941406,17179869184,0,9628549120,0
201,1739357485821,4056,4056,4056,4056,4056,4056,4056,4056,44.61345672607422,44.771785736083984,45.12753677368164,44.438846588134766,44.95351028442383,44.00517272949219,44.86670684814453,44.868125915527344,44.69121551513672,44.6772575378418,44.88227462768555,44.70576858520508,44.81264114379883,45.205238342285156,19.047618865966797,10,4.761904716491699,4.761904716491699,20,19.047618865966797,10,0,9.403541564941406,17179869184,0,9628254208,0
201,1739357486023,4056,4056,4056,4056,4056,4056,4056,4056,44.61345672607422,44.771785736083984,45.12753677368164,44.438846588134766,44.95351028442383,44.00517272949219,44.86670684814453,44.868125915527344,44.69121551513672,44.6772575378418,44.88227462768555,44.70576858520508,44.81264114379883,45.205238342285156,11.111111640930176,10,5,0,20,20,5.263157844543457,9.523809432983398,9.403541564941406,17179869184,0,9627566080,0
200,1739357486224,4056,4056,4056,4056,4056,4056,4056,4056,44.61345672607422,44.771785736083984,45.12753677368164,44.438846588134766,44.95351028442383,44.00517272949219,44.86670684814453,44.868125915527344,44.69121551513672,44.6772575378418,44.88227462768555,44.70576858520508,44.81264114379883,45.205238342285156,25,23.809524536132813,10,9.523809432983398,13.636363983154297,5,13.636363983154297,0,9.424186706542969,17179869184,0,9628270592,0
204,1739357486426,4056,4056,4056,4056,4056,4056,4056,4056,44.61345672607422,44.771785736083984,45.12753677368164,44.438846588134766,44.95351028442383,44.00517272949219,44.86670684814453,44.868125915527344,44.69121551513672,44.6772575378418,44.88227462768555,44.70576858520508,44.81264114379883,45.205238342285156,19.047618865966797,10,5,0,11.111111640930176,15.000000953674316,5.263157844543457,4.761904716491699,9.424186706542969,17179869184,0,9627205632,0
202,1739357486631,4056,4056,4056,4056,4056,4056,4056,4056,44.65325927734375,44.80717086791992,45.113365173339844,44.512542724609375,45.004852294921875,44.00448989868164,44.90884017944336,44.8896484375,44.71580123901367,44.71864700317383,44.90599822998047,44.754146575927734,44.8215446472168,45.18962860107422,10,10,4.761904716491699,0,23.809524536132813,10.526315689086914,14.285715103149414,5,9.424186706542969,17179869184,0,9625763840,0
204,1739357486834,4056,4056,4056,4056,4056,4056,4056,4056,44.65325927734375,44.80717086791992,45.113365173339844,44.512542724609375,45.004852294921875,44.00448989868164,44.90884017944336,44.8896484375,44.71580123901367,44.71864700317383,44.90599822998047,44.754146575927734,44.8215446472168,45.18962860107422,17.647058486938477,11.764705657958984,5.263157844543457,8.333333969116211,20,18.18181800842285,15.000000953674316,5,9.424186706542969,17179869184,0,9626058752,0
204,1739357487039,4056,4056,4056,4056,4056,4056,4056,4056,44.65325927734375,44.80717086791992,45.113365173339844,44.512542724609375,45.004852294921875,44.00448989868164,44.90884017944336,44.8896484375,44.71580123901367,44.71864700317383,44.90599822998047,44.754146575927734,44.8215446472168,45.18962860107422,15.000000953674316,5.263157844543457,4.761904716491699,9.090909004211426,19.047618865966797,15.000000953674316,9.523809432983398,19.047618865966797,9.424186706542969,17179869184,0,9627549696,0
204,1739357487244,4056,4056,4056,4056,4056,4056,4056,4056,44.65325927734375,44.80717086791992,45.113365173339844,44.512542724609375,45.004852294921875,44.00448989868164,44.90884017944336,44.8896484375,44.71580123901367,44.71864700317383,44.90599822998047,44.754146575927734,44.8215446472168,45.18962860107422,15.000000953674316,9.523809432983398,0,0,14.285715103149414,10.526315689086914,10,4.761904716491699,9.80709171295166,17179869184,0,9624338432,0
200,1739357487449,4056,4056,4056,4056,4056,4056,4056,4056,44.65325927734375,44.80717086791992,45.113365173339844,44.512542724609375,45.004852294921875,44.00448989868164,44.90884017944336,44.8896484375,44.71580123901367,44.71864700317383,44.90599822998047,44.754146575927734,44.8215446472168,45.18962860107422,14.285715103149414,14.285715103149414,5,0,10.526315689086914,18.18181800842285,10.526315689086914,5,9.80709171295166,17179869184,0,9625108480,0
6,1739357487650,4056,4056,4056,4056,4056,4056,4056,4056,44.78314971923828,44.91999816894531,45.26228713989258,44.81316375732422,45.171470642089844,44.28205490112305,45.027225494384766,45.003135681152344,44.80781173706055,44.86331558227539,45.046695709228516,44.88199234008789,44.96434020996094,45.32796859741211,15.789472579956055,10,9.523809432983398,0,20,15.000000953674316,13.636363983154297,5,9.80709171295166,17179869184,0,9621602304,0
